"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"63MOONS","EQ","26-Mar-2024","402.95","403.00","408.50","390.00","392.00","393.75","399.36","1,53,743","6,13,99,044.25","3,612","-","-"
"63MOONS","EQ","27-Mar-2024","393.75","387.50","397.20","378.80","382.30","381.60","387.33","1,85,543","7,18,67,096.50","4,454","1,32,305","71.31"
"63MOONS","EQ","28-Mar-2024","381.60","384.40","393.55","380.00","382.00","381.60","385.89","1,30,919","5,05,20,622.30","3,245","92,182","70.41"
